,ds,y
607,1993-08-01,834.23553
608,1993-09-01,840.60298
609,1993-10-01,847.61663
610,1993-11-01,856.52342
611,1993-12-01,865.65058
612,1994-01-01,872.02182
613,1994-02-01,880.35286
614,1994-03-01,891.33316
615,1994-04-01,900.98953
616,1994-05-01,912.8637
617,1994-06-01,924.21602
618,1994-07-01,931.13474
619,1994-08-01,944.80317
620,1994-09-01,957.3756
621,1994-10-01,968.46871
622,1994-11-01,981.42611
623,1994-12-01,997.30174
624,1995-01-01,1010.39504
625,1995-02-01,1018.55911
626,1995-03-01,1033.63209
627,1995-04-01,1043.69517
628,1995-05-01,1057.47083
629,1995-06-01,1069.37791
630,1995-07-01,1077.737
631,1995-08-01,1089.60205
632,1995-09-01,1106.61268
633,1995-10-01,1113.52851
634,1995-11-01,1132.16017
635,1995-12-01,1140.74436
636,1996-01-01,1153.2703
637,1996-02-01,1163.09378
638,1996-03-01,1171.68426
639,1996-04-01,1180.9031
640,1996-05-01,1191.11369
641,1996-06-01,1200.95002
642,1996-07-01,1211.89736
643,1996-08-01,1220.503
644,1996-09-01,1225.27176
645,1996-10-01,1231.3361
646,1996-11-01,1242.42191
647,1996-12-01,1253.43709
648,1997-01-01,1258.36528
649,1997-02-01,1261.85081
650,1997-03-01,1264.14634
651,1997-04-01,1274.08738
652,1997-05-01,1278.67842
653,1997-06-01,1282.85852
654,1997-07-01,1288.78203
655,1997-08-01,1294.21924
656,1997-09-01,1301.63497
657,1997-10-01,1309.38939
658,1997-11-01,1312.45718
659,1997-12-01,1324.75733
660,1998-01-01,1320.04402
661,1998-02-01,1324.34272
662,1998-03-01,1332.90344
663,1998-04-01,1360.45629
664,1998-05-01,1363.08086
665,1998-06-01,1373.94233
666,1998-07-01,1380.72085
667,1998-08-01,1386.66645
668,1998-09-01,1397.28973
669,1998-10-01,1405.39666
670,1998-11-01,1408.44269
671,1998-12-01,1420.99644
672,1999-01-01,1431.23693
673,1999-02-01,1441.31459
674,1999-03-01,1450.87882
675,1999-04-01,1457.67057
676,1999-05-01,1468.14661
677,1999-06-01,1479.31532
678,1999-07-01,1492.3776
679,1999-08-01,1503.22661
680,1999-09-01,1511.05926
681,1999-10-01,1517.28183
682,1999-11-01,1525.33442
683,1999-12-01,1531.10596
684,2000-01-01,1538.52018
685,2000-02-01,1549.18529
686,2000-03-01,1561.45069
687,2000-04-01,1570.52774
688,2000-05-01,1583.50792
689,2000-06-01,1609.54804
690,2000-07-01,1629.75144
691,2000-08-01,1651.6154
692,2000-09-01,1669.00081
693,2000-10-01,1684.59932
694,2000-11-01,1700.94454
695,2000-12-01,1716.96972
696,2001-01-01,1729.85168
697,2001-02-01,1748.70202
698,2001-03-01,1760.54184
699,2001-04-01,1773.09833
700,2001-05-01,1781.17746
701,2001-06-01,1792.36809
702,2001-07-01,1797.35057
703,2001-08-01,1806.35904
704,2001-09-01,1814.25238
705,2001-10-01,1829.84026
706,2001-11-01,1857.84279
707,2001-12-01,1867.85287
708,2002-01-01,1867.41869
709,2002-02-01,1881.90537
710,2002-03-01,1894.69033
711,2002-04-01,1903.95799
712,2002-05-01,1914.61399
713,2002-06-01,1927.18098
714,2002-07-01,1939.2114
715,2002-08-01,1947.50009
716,2002-09-01,1950.65139
717,2002-10-01,1957.1513
718,2002-11-01,1965.17913
719,2002-12-01,1972.11221
720,2003-01-01,1982.56131
721,2003-02-01,1993.40569
722,2003-03-01,2001.20815
723,2003-04-01,2014.09978
724,2003-05-01,2027.50251
725,2003-06-01,2033.26841
726,2003-07-01,2040.06439
727,2003-08-01,2049.12434
728,2003-09-01,2057.09079
729,2003-10-01,2065.4951
730,2003-11-01,2066.40009
731,2003-12-01,2077.36069
732,2004-01-01,2088.24304
733,2004-02-01,2095.34036
734,2004-03-01,2109.72032
735,2004-04-01,2112.71615
736,2004-05-01,2120.83915
737,2004-06-01,2127.98941
738,2004-07-01,2137.09298
739,2004-08-01,2143.43512
740,2004-09-01,2160.1483
741,2004-10-01,2176.71934
742,2004-11-01,2183.74635
743,2004-12-01,2192.24617
744,2005-01-01,2196.77763
745,2005-02-01,2211.55871
746,2005-03-01,2220.19919
747,2005-04-01,2232.53538
748,2005-05-01,2232.67152
749,2005-06-01,2247.83343
750,2005-07-01,2257.23094
751,2005-08-01,2267.04488
752,2005-09-01,2271.63328
753,2005-10-01,2276.84314
754,2005-11-01,2283.66127
755,2005-12-01,2290.92813
756,2006-01-01,2367.47108
757,2006-02-01,2374.97732
758,2006-03-01,2385.80789
759,2006-04-01,2397.6806
760,2006-05-01,2407.16145
761,2006-06-01,2395.81318
762,2006-07-01,2403.09925
763,2006-08-01,2415.73203
764,2006-09-01,2426.81323
765,2006-10-01,2429.39986
766,2006-11-01,2440.74907
767,2006-12-01,2456.7157
768,2007-01-01,2457.94558
769,2007-02-01,2470.04992
770,2007-03-01,2484.43318
771,2007-04-01,2493.72977
772,2007-05-01,2510.01606
773,2007-06-01,2519.12104
774,2007-07-01,2533.66767
775,2007-08-01,2552.76707
776,2007-09-01,2566.99536
777,2007-10-01,2582.32603
778,2007-11-01,2597.6493
779,2007-12-01,2609.47653
780,2008-01-01,2619.42765
781,2008-02-01,2634.49642
782,2008-03-01,2645.60364
783,2008-04-01,2654.24323
784,2008-05-01,2660.19315
785,2008-06-01,2662.40952
786,2008-07-01,2665.32126
787,2008-08-01,2662.23778
788,2008-09-01,2657.38913
789,2008-10-01,2660.7295
790,2008-11-01,2651.48139
791,2008-12-01,2643.78896
792,2009-01-01,2647.02886
793,2009-02-01,2638.53274
794,2009-03-01,2622.82785
795,2009-04-01,2615.97301
796,2009-05-01,2610.01078
797,2009-06-01,2591.47541
798,2009-07-01,2590.85498
799,2009-08-01,2582.12601
800,2009-09-01,2576.59439
801,2009-10-01,2563.42273
802,2009-11-01,2551.56929
803,2009-12-01,2555.01664
804,2010-01-01,2543.50802
805,2010-02-01,2530.02428
806,2010-03-01,2536.55195
807,2010-04-01,2532.76479
808,2010-05-01,2521.68794
809,2010-06-01,2518.41641
810,2010-07-01,2521.1048
811,2010-08-01,2520.42213
812,2010-09-01,2522.09423
813,2010-10-01,2530.106
814,2010-11-01,2531.23226
815,2010-12-01,2646.81126
816,2011-01-01,2657.3601
817,2011-02-01,2663.77992
818,2011-03-01,2672.03136
819,2011-04-01,2679.97392
820,2011-05-01,2683.971
821,2011-06-01,2693.0883
822,2011-07-01,2717.49471
823,2011-08-01,2709.1147
824,2011-09-01,2720.06046
825,2011-10-01,2727.95336
826,2011-11-01,2746.76076
827,2011-12-01,2756.22486
828,2012-01-01,2769.93098
829,2012-02-01,2777.80358
830,2012-03-01,2791.56594
831,2012-04-01,2802.54618
832,2012-05-01,2818.39729
833,2012-06-01,2829.85078
834,2012-07-01,2840.09463
835,2012-08-01,2857.10779
836,2012-09-01,2865.78973
837,2012-10-01,2881.76267
838,2012-11-01,2903.31606
839,2012-12-01,2912.90502
840,2013-01-01,2930.70325
841,2013-02-01,2950.55705
842,2013-03-01,2961.00546
843,2013-04-01,2972.09059
844,2013-05-01,2986.93636
845,2013-06-01,3000.13761
846,2013-07-01,3015.14301
847,2013-08-01,3029.98525
848,2013-09-01,3045.91769
849,2013-10-01,3062.67334
850,2013-11-01,3076.9589
851,2013-12-01,3090.46778
852,2014-01-01,3110.22039
853,2014-02-01,3127.59853
854,2014-03-01,3145.2723
855,2014-04-01,3169.33472
856,2014-05-01,3187.75716
857,2014-06-01,3205.13244
858,2014-07-01,3227.40499
859,2014-08-01,3243.46835
860,2014-09-01,3259.48813
861,2014-10-01,3269.65745
862,2014-11-01,3283.68655
863,2014-12-01,3309.53985
864,2015-01-01,3316.71672
865,2015-02-01,3332.9446
866,2015-03-01,3357.4702
